Collection Year,MSA/MD,State,County,Census Tract,FFIEC Median Family Income,Population,Minority Population %,Number of Owner Occupied Units,Number of 1 to 4 Family Units,Tract MFI,Tract to MSA Income %,Median Age,Small County
1991,0040,48,441,010100,005.6500,01813510,515000,,,,000291,,0
1991,0040,48,441,010200,023.1700,01322707,328900,,,,000762,,0
1991,0040,48,441,010300,017.4300,01562508,173800,,,,000303,,0
1991,0040,48,441,010400,067.4400,01412707,291500,,,,001966,,0
1991,0040,48,441,010500,021.9000,01953910,384400,,,,000842,,0
1991,0040,48,441,010600,008.2800,02410313,433600,,,,000359,,0
1991,0040,48,441,010700,034.4500,01586208,392200,,,,001351,,0
1991,0040,48,441,010800,045.0400,01162306,270900,,,,001220,,0
1991,0040,48,441,010900,033.0000,02104411,394200,,,,001301,,0
1991,0040,48,441,011000,056.2900,01295307,135200,,,,000761,,0
1991,0040,48,441,011100,044.1000,01236606,061000,,,,000269,,0
1991,0040,48,441,011200,022.3500,01438207,319900,,,,000715,,0
1991,0040,48,441,011300,020.5500,01937910,403500,,,,000829,,0
1991,0040,48,441,011400,012.9700,01872510,546800,,,,000709,,0
1991,0040,48,441,011500,011.7400,01819710,316800,,,,000372,,0
1991,0040,48,441,011600,008.8600,01759209,288800,,,,000256,,0
1991,0040,48,441,011700,021.4700,01419107,170500,,,,000366,,0
1991,0040,48,441,011800,037.7800,00916705,121500,,,,000459,,0
1991,0040,48,441,011900,033.5200,01087506,301000,,,,001009,,0
1991,0040,48,441,012000,006.4400,02885415,104000,,,,000067,,0
1991,0040,48,441,012100,028.5500,02625014,135200,,,,000386,,0
1991,0040,48,441,012200,015.1400,01467108,253000,,,,000383,,0
1991,0040,48,441,012300,009.4900,01608208,476300,,,,000452,,0
1991,0040,48,441,012400,005.9800,02183712,275900,,,,000165,,0
1991,0040,48,441,012500,002.5000,02726015,364600,,,,000091,,0
1991,0040,48,441,012600,001.3600,03248018,360400,,,,000049,,0
1991,0040,48,441,012700,003.5600,02970216,345800,,,,000123,,0
1991,0040,48,441,012800,007.7600,01992211,232100,,,,000180,,0
1991,0040,48,441,012900,029.8700,01282907,372300,,,,001112,,0
1991,0040,48,441,013000,028.9400,00000000,149600,,,,000433,,0
1991,0040,48,441,013100,037.4300,01381207,565600,,,,002117,,0
1991,0040,48,441,013200,013.2800,01417807,170900,,,,000227,,0
1991,0040,48,441,013300,017.1600,01297307,187600,,,,000322,,0
1991,0040,48,441,013400,007.2000,02217612,451400,,,,000325,,0
1991,0040,48,441,013500,004.5200,01636109,334300,,,,000151,,0
1991,0040,48,441,013600,010.8900,01656709,464700,,,,000506,,0
1991,0060,72,003,999999,000.0000,00473106,156700,,,,000000,,0
1991,0060,72,005,400100,000.0000,01752523,397300,,,,000000,,0
1991,0060,72,005,400200,000.0000,00818210,202100,,,,000000,,0
1991,0060,72,005,400300,000.0000,01064214,028400,,,,000000,,0
1991,0060,72,005,400400,000.0000,00694109,512300,,,,000000,,0
1991,0060,72,005,400500,000.0000,00511206,532000,,,,000000,,0
1991,0060,72,005,400600,000.0000,01683922,513300,,,,000000,,0
1991,0060,72,005,400700,000.0000,01297117,393800,,,,000000,,0
1991,0060,72,005,400800,000.0000,00364804,440000,,,,000000,,0
1991,0060,72,005,400900,000.0000,00999613,296900,,,,000000,,0
1991,0060,72,005,401000,000.0000,01303317,271200,,,,000000,,0
1991,0060,72,005,401100,000.0000,00787110,288700,,,,000000,,0
1991,0060,72,005,401200,000.0000,02003826,300100,,,,000000,,0
1991,0060,72,005,401300,000.0000,01695222,711100,,,,000000,,0
1991,0060,72,005,401400,000.0000,02084727,573400,,,,000000,,0
1991,0060,72,071,999999,000.0000,00472606,743500,,,,000000,,0
1991,0060,72,099,999999,000.0000,00444205,918500,,,,000000,,0
1991,0080,39,133,600100,002.0300,02152609,723400,,,,000147,,0
1991,0080,39,133,600200,001.3700,02171510,541800,,,,000074,,0
1991,0080,39,133,600301,002.6100,02390811,398100,,,,000104,,0
1991,0080,39,133,600302,001.0700,03694417,419600,,,,000045,,0
1991,0080,39,133,600401,001.4400,02232110,716600,,,,000103,,0
1991,0080,39,133,600402,001.7700,02504011,209000,,,,000037,,0
1991,0080,39,133,600500,002.2600,02175410,526800,,,,000119,,0
1991,0080,39,133,600600,002.5000,01853308,812700,,,,000203,,0
1991,0080,39,133,600700,001.0600,02146809,770100,,,,000082,,0
1991,0080,39,133,600800,005.1900,02081609,302500,,,,000157,,0
1991,0080,39,133,600900,008.4500,01828408,976000,,,,000825,,0
1991,0080,39,133,601000,012.1900,01833308,314100,,,,000383,,0
1991,0080,39,133,601100,001.3300,01968309,525600,,,,000070,,0
1991,0080,39,133,601200,005.8500,02059909,382800,,,,000224,,0
1991,0080,39,133,601300,006.3900,01938608,630800,,,,000403,,0
1991,0080,39,133,601400,010.0100,02033709,632100,,,,000633,,0
1991,0080,39,133,601500,011.7400,01845508,166800,,,,001370,,0
1991,0080,39,133,601600,001.5900,02495311,428600,,,,000068,,0
1991,0080,39,133,601700,002.3700,02246910,666300,,,,000158,,0
1991,0080,39,133,601800,000.8000,02202410,658500,,,,000053,,0
1991,0080,39,133,601900,000.7000,01790408,540100,,,,000038,,0
1991,0080,39,133,602000,001.0400,02109809,509300,,,,000053,,0
1991,0080,39,133,602100,000.7800,02393511,734000,,,,000057,,0
1991,0080,39,153,501100,079.0600,00824503,181500,,,,001435,,0
1991,0080,39,153,501200,014.1600,00898104,138400,,,,000196,,0
1991,0080,39,153,501301,023.9400,00479202,096900,,,,000232,,0
1991,0080,39,153,501302,008.2100,00000000,120600,,,,000099,,0
1991,0080,39,153,501400,008.3900,01578907,250200,,,,000210,,0
1991,0080,39,153,501500,049.8600,00974404,105500,,,,000526,,0
1991,0080,39,153,501600,040.2400,01522707,008200,,,,000033,,0
1991,0080,39,153,501700,016.4600,01037704,274600,,,,000452,,0
1991,0080,39,153,501800,095.4900,01143905,199700,,,,001907,,0
1991,0080,39,153,501900,044.5500,00931104,237500,,,,001058,,0
1991,0080,39,153,502101,006.9500,01721707,349800,,,,000243,,0
1991,0080,39,153,502102,007.2600,01727207,494300,,,,000359,,0
1991,0080,39,153,502200,006.5600,01804308,673500,,,,000442,,0
1991,0080,39,153,502300,028.1900,01719607,644800,,,,001818,,0
1991,0080,39,153,502400,007.3700,01285005,272800,,,,000201,,0
1991,0080,39,153,502500,008.9200,01162305,232000,,,,000207,,0
1991,0080,39,153,502600,003.7700,01670307,371500,,,,000140,,0
1991,0080,39,153,502700,002.2700,02178210,736200,,,,000167,,0
1991,0080,39,153,502800,001.9300,02086909,506700,,,,000098,,0
1991,0080,39,153,503100,005.0200,01356306,258800,,,,000130,,0
1991,0080,39,153,503200,056.9100,01173605,317500,,,,001807,,0
1991,0080,39,153,503300,008.5600,01596207,604100,,,,000517,,0
1991,0080,39,153,503400,075.3400,00996804,252600,,,,001903,,0
1991,0080,39,153,503500,044.3000,01429606,477700,,,,002116,,0
1991,0080,39,153,503600,001.2600,02011909,523300,,,,000066,,0
1991,0080,39,153,503701,001.1100,02188710,533800,,,,000059,,0
1991,0080,39,153,503702,000.8800,02073809,622800,,,,000055,,0
1991,0080,39,153,503800,015.2100,01297706,329400,,,,000501,,0
1991,0080,39,153,504100,009.9500,01217605,174800,,,,000174,,0
1991,0080,39,153,504200,019.3900,01475906,273300,,,,000530,,0
1991,0080,39,153,504300,076.6700,01100005,075000,,,,000575,,0
1991,0080,39,153,504400,032.8900,01215905,211900,,,,000697,,0
1991,0080,39,153,504500,006.0700,01621407,219000,,,,000133,,0
1991,0080,39,153,504600,017.2600,01602707,389900,,,,000673,,0
1991,0080,39,153,504700,001.0800,02060009,527700,,,,000057,,0
1991,0080,39,153,504800,000.7900,02129209,559100,,,,000044,,0
1991,0080,39,153,505100,044.9200,01546507,501800,,,,002254,,0
1991,0080,39,153,505200,057.5600,01766808,261100,,,,001503,,0
1991,0080,39,153,505300,030.8100,00883004,293400,,,,000904,,0
1991,0080,39,153,505400,000.7100,01789608,438900,,,,000031,,0
1991,0080,39,153,505500,001.0000,01869008,319500,,,,000032,,0
1991,0080,39,153,505600,023.8000,01046304,236100,,,,000562,,0
1991,0080,39,153,505700,001.0700,01691107,345800,,,,000037,,0
1991,0080,39,153,505800,002.3400,01932708,636100,,,,000149,,0
1991,0080,39,153,505900,001.0500,01844108,286100,,,,000030,,0
1991,0080,39,153,506100,010.5200,02600512,563000,,,,000592,,0
1991,0080,39,153,506200,057.9600,02193610,559200,,,,003241,,0
