msa_md,msa_md_name,state
"Topeka, KS",99990,KS
"Salina, KS",99990,KS
"Glasgow, KY",99990,KY
"Lake Charles-Jennings, LA",99990,LA
"Ardmore, OK",99990,OK
"Fort Smith, AR-OK",99990,OK
"Stillwater, OK",99990,OK
"Tulsa-Bartlesville, OK",62000,OK
"Fort Smith, AR-OK",62000,OK
"Duncan, OK",62000,OK
"Guymon, OK",62000,OK
"Lynchburg, VA",99990,VA
"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV",99990,VA
"Charlottesville, VA",99990,VA
"Wichita-Winfield, KS",99991,KS
"Emporia, KS",26801,KS
"Topeka, KS",99991,KS
"Somerset, KY",99991,KY
"Lexington-Fayette--Frankfort--Richmond, KY",99991,KY
"Kearney, NE",99991,NE
"Grand Island, NE",99991,NE
"Norfolk, NE",99991,NE
"Claremont-Lebanon, NH-VT",99991,NH
"Huntsville-Decatur, AL",99992,AL
"Fairbanks, AK",37602,AK
"Jacksonville, FL",99992,FL
"Tallahassee, FL",99992,FL
"Wichita-Winfield, KS",99992,KS
"Topeka, KS",99992,KS
"Owensboro, KY",99992,KY
"Paducah-Mayfield, KY-IL",99992,KY
"Louisville-Elizabethtown-Scottsburg, KY-IN",99992,KY
"Lexington-Fayette--Frankfort--Richmond, KY",99992,KY
"Tulsa-Bartlesville, OK",07202,OK
"Stillwater, OK",99992,OK
"Fort Smith, AR-OK",07202,OK
"Montgomery-Alexander City, AL",99993,AL
"Huntsville-Decatur, AL",99993,AL
"Wichita-Winfield, KS",99993,KS
"Parsons, KS",99993,KS
"Topeka, KS",99993,KS
"Huntsville-Decatur, AL",99994,AL
"Wichita-Winfield, KS",62804,KS
"Kansas City-Overland Park-Kansas City, MO-KS",99994,KS
"Parsons, KS",99994,KS
"Owensboro, KY",99994,KY
"Paducah-Mayfield, KY-IL",99994,KY
"Louisville-Elizabethtown-Scottsburg, KY-IN",99994,KY
"Somerset, KY",99994,KY
"Lexington-Fayette--Frankfort--Richmond, KY",99994,KY
"Ardmore, OK",99995,OK
"Fort Smith, AR-OK",99995,OK
"Guymon, OK",99995,OK
"Roseburg, OR",99995,OR
"Eugene-Springfield, OR",99995,OR
"Pendleton-Hermiston, OR",99995,OR
"Charlottesville, VA",99995,VA
"Virginia Beach-Norfolk-Newport News, VA-NC",99995,VA
"Wichita-Winfield, KS",74407,KS
"Parsons, KS",99997,KS
"Liberal, KS",74407,KS
"Huntington-Ashland, WV-KY-OH",74407,KY
"Owensboro, KY",74407,KY
"Cincinnati-Middletown-Wilmington, OH-KY-IN",63607,KY
"Louisville-Elizabethtown-Scottsburg, KY-IN",99997,KY
"Cincinnati-Middletown-Wilmington, OH-KY-IN",74407,KY
"Lexington-Fayette--Frankfort--Richmond, KY",99997,KY
