msa_md|msa_md_name|state
nan|52400|DE
nan|51600|DE
nan|99990|DE
nan|10000|DE
nan|04500|DE
nan|26500|DE
nan|21800|DE
nan|28800|DE
nan|20300|DE
nan|05800|DE
nan|34400|DE
nan|52400|DC
nan|20300|DC
nan|99990|DC
nan|18000|DC
nan|10000|DC
nan|86000|DC
nan|99990|KS
Topeka, KS|99990|KS
Salina, KS|99990|KS
nan|03800|KS
nan|99990|KY
Glasgow, KY|99990|KY
nan|99990|LA
Lake Charles-Jennings, LA|99990|LA
Ardmore, OK|99990|OK
nan|99990|OK
nan|26200|OK
Fort Smith, AR-OK|99990|OK
Stillwater, OK|99990|OK
nan|62000|OK
Tulsa-Bartlesville, OK|62000|OK
Fort Smith, AR-OK|62000|OK
Duncan, OK|62000|OK
Guymon, OK|62000|OK
nan|41200|OK
nan|85200|OK
nan|93600|OK
nan|99990|VT
nan|25800|VT
nan|37000|VT
nan|27200|VT
nan|49200|VT
nan|44000|VT
nan|62400|VT
nan|83600|VT
Lynchburg, VA|99990|VA
nan|99990|VA
Washington-Arlington-Alexandria, DC-VA-MD-WV|99990|VA
Charlottesville, VA|99990|VA
nan|44000|VA
nan|27200|VA
nan|25800|VA
nan|57750|AS
nan|99990|AS
nan|16200|AS
nan|69200|AS
nan|28400|AS
nan|06800|AS
nan|44800|AS
nan|73600|AS
nan|49400|AS
nan|71200|AS
nan|87200|AS
nan|59450|AS
nan|67800|AS
nan|73200|AS
nan|81200|AS
nan|74600|AS
nan|74800|AS
nan|74000|AS
nan|74850|AS
nan|66900|AS
nan|75000|AS
nan|51700|AS
nan|93400|
nan|99990|
nan|87800|
nan|87350|
nan|92700|
nan|20800|
nan|11250|
nan|17200|
nan|26700|
nan|29950|
nan|65600|
nan|30600|
nan|80400|
nan|11600|
nan|19300|
nan|32800|
nan|88800|
nan|54800|
nan|55200|
nan|92400|
nan|21901|
nan|91601|
nan|99991|
nan|88401|DE
nan|29001|KS
nan|99991|KS
nan|60151|KS
Wichita-Winfield, KS|99991|KS
nan|49001|KS
nan|26801|KS
Emporia, KS|26801|KS
Topeka, KS|99991|KS
nan|65801|KS
nan|36001|KS
nan|53451|KS
nan|60801|KS
nan|20201|KS
nan|82401|KS
nan|82801|KS
nan|59601|KS
nan|27001|KS
nan|75101|KS
nan|57901|KS
nan|27101|KS
nan|50001|KS
nan|27501|KS
nan|89601|KS
nan|82801|KY
nan|39801|KY
nan|99991|KY
nan|36001|KY
nan|27101|KY
nan|60801|KY
nan|75101|KY
nan|59601|KY
Somerset, KY|99991|KY
Lexington-Fayette--Frankfort--Richmond, KY|99991|KY
nan|20201|KY
nan|99991|MT
nan|05201|MT
nan|46801|MT
nan|75201|MT
nan|15601|MT
nan|18001|MT
nan|05001|MT
nan|06001|MT
nan|01201|MT
Kearney, NE|99991|NE
nan|75201|NE
nan|99991|NE
Grand Island, NE|99991|NE
Norfolk, NE|99991|NE
nan|05201|NE
nan|18001|NE
nan|46801|NE
